Station ID,Functional Class,Lat/Long,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"081-0238",6U : Urban Minor Collector,"31.970579, -83.794269",2019,890,Estimated,,,,,0.1101,0.8,1120,Short Term
"081-0241",6U : Urban Minor Collector,"31.967970, -83.782021",2019,840,Estimated,,,,,,,1060,Short Term
"081-0245",6U : Urban Minor Collector,"31.968054, -83.777198",2019,370,Estimated,,,,,0.1428,0.5,470,Short Term
"081-0247",4U : Urban Minor Arterial,"31.973870, -83.792639",2019,1570,Estimated,,,,,0.0906,0.8,1970,Short Term
"081-0252",6U : Urban Minor Collector,"31.964428, -83.781023",2019,1510,Estimated,,,,,0.1052,,1910,Short Term
"081-0258",6U : Urban Minor Collector,"31.971055, -83.781163",2019,860,Estimated,,,,,0.1197,0.8,1090,Short Term
"081-0263",4U : Urban Minor Arterial,"31.962400, -83.745874",2019,2700,Actual,226,226,0.705,0.853,0.1168,0.55,3400,Short Term
"081-0265",4U : Urban Minor Arterial,"31.971750, -83.745925",2019,1980,Estimated,152,246,1.052,0.802,0.0897,0.8,2500,Short Term
"081-0269",7U : Urban Local,"31.948150, -83.765661",2019,3340,Estimated,,,,,,,4200,Short Term
"081-0272",6U : Urban Minor Collector,"31.965311, -83.765216",2019,4690,Actual,169,35,0.299,0.021,0.1242,0.62,5900,Short Term
"081-0274",7U : Urban Local,"31.975405, -83.764894",2019,1370,Estimated,,,,,0.1182,0.5,1720,Short Term
"081-0276",6U : Urban Minor Collector,"31.957360, -83.776235",2019,2060,Estimated,,,,,0.0996,0.8,2600,Short Term
"081-0278",6U : Urban Minor Collector,"31.961982, -83.776312",2019,2500,Estimated,,,,,,,3150,Short Term
"081-0281",6U : Urban Minor Collector,"31.967039, -83.776409",2019,1810,Actual,66,2,0.607,0,0.1004,0.54,2280,Short Term
"081-0285",6U : Urban Minor Collector,"31.969852, -83.776472",2019,1580,Estimated,,,,,0.1055,0.8,1990,Short Term
"081-0287",6U : Urban Minor Collector,"31.973743, -83.776548",2019,1550,Estimated,,,,,,,1960,Short Term
"081-0289",6U : Urban Minor Collector,"31.976927, -83.776598",2019,870,Estimated,,,,,0.1184,0.5,1200,Short Term
"081-0347",3U : Urban Principal Arterial - Other,"31.923370, -83.787040",2019,8680,Actual,209,1305,0.323,1.164,0.1215,0.56,10900,CCS
"081-0349",3U : Urban Principal Arterial - Other,"31.930196, -83.754172",2019,7690,Estimated,1001,1216,1.15,1.098,0.0796,0.54,9690,Short Term
"081-0352",3U : Urban Principal Arterial - Other,"31.959208, -83.747465",2019,7010,Estimated,,,,,,,8830,Short Term
"081-0354",6U : Urban Minor Collector,"31.982247, -83.798968",2019,1890,Estimated,126,126,0.756,0.108,0.0907,0.8,3440,Short Term
"081-0356",5R : Rural Major Collector,"32.024111, -83.740273",2019,150,Actual,6,1,0.658,0.658,0.1382,0.67,190,Short Term
"081-7145",6U : Urban Minor Collector,"31.934347, -83.800657",2019,550,Estimated,38,18,,0.374,0.0879,0.8,690,Short Term
"081-7146",6U : Urban Minor Collector,"31.965436, -83.727516",2019,170,Estimated,,,,,0.1999,0.8,210,Short Term
"081-7147",6U : Urban Minor Collector,"31.949356, -83.790291",2019,1070,Estimated,,,,,,,1340,Short Term
"081-7148",6U : Urban Minor Collector,"31.968915, -83.772723",2019,950,Estimated,,,,,0.1308,0.5,1200,Short Term
"081-7149",6U : Urban Minor Collector,"31.966584, -83.779492",2019,6120,Actual,185,16,0.131,0,0.097,0.6,7750,Short Term
"081-7150",6U : Urban Minor Collector,"31.979525, -83.778874",2019,530,Estimated,,,,,,,670,Short Term
"081-7151",7U : Urban Local,"31.959526, -83.756008",2019,3560,Estimated,,,,,0.107,0.5,5400,Short Term
"081-8003",7R : Rural Local,"31.931717, -83.865994",2019,600,Estimated,,,,,,,760,Short Term
"081-8011",7U : Urban Local,"31.938867, -83.727925",2019,70,Estimated,,,,,0.1896,0.5,90,Short Term
"081-8015",7R : Rural Local,"32.025522, -83.902673",2019,40,Estimated,,,,,,,110,Short Term
"081-8017",7U : Urban Local,"31.981534, -83.767851",2019,720,Estimated,,,,,0.1053,0.8,910,Short Term
"081-8023",7U : Urban Local,"31.937641, -83.778050",2019,210,Estimated,,,,,,,600,Short Term
"081-8031",7U : Urban Local,"31.925149, -83.725417",2019,370,Estimated,,,,,,,470,Short Term
"081-8033",7U : Urban Local,"31.963107, -83.774977",2019,310,Estimated,,,,,,,390,Short Term
"081-8039",7U : Urban Local,"31.965789, -83.781944",2019,660,Estimated,,,,,,,840,Short Term
"081-8041",7U : Urban Local,"31.962493, -83.780542",2019,510,Estimated,,,,,0.1255,0.8,640,Short Term
"081-8045",7U : Urban Local,"31.952884, -83.774480",2019,150,Estimated,,,,,,,180,Short Term
"081-8047",7U : Urban Local,"31.979599, -83.773866",2019,100,Estimated,,,,,,,130,Short Term
"081-8051",7U : Urban Local,"31.930411, -83.740906",2019,610,Estimated,,,,,,,770,Short Term
"081-8052",6R : Rural Minor Collector,"31.855700, -83.797200",2019,70,Estimated,,,,,,,90,Short Term
"081-8053",6R : Rural Minor Collector,"31.913380, -83.806369",2019,340,Estimated,34,14,1.466,0.587,0.129,0.8,430,Short Term
"081-8054",7R : Rural Local,"31.830566, -83.840347",2019,20,Estimated,,,,,,,30,Short Term
"081-8055",7R : Rural Local,"31.810918, -83.807057",2019,20,Estimated,,,,,,,30,Short Term
"081-8056",7R : Rural Local,"31.912561, -83.828626",2019,90,Estimated,5,8,1.163,,0.1395,0.8,110,Short Term
"081-8062",7R : Rural Local,"32.023850, -83.610427",2019,250,Estimated,6,6,0,0.407,0.126,0.8,310,Short Term
"081-8063",7R : Rural Local,"31.995557, -83.697643",2019,230,Estimated,,,,,,,650,Short Term
"081-8064",7R : Rural Local,"31.838053, -83.854663",2019,110,Estimated,13,4,0.114,0.039,0.1393,0.8,140,Short Term
"081-8065",7R : Rural Local,"31.851417, -83.712495",2019,60,Estimated,8,2,1.724,3.448,0.1724,0.8,70,Short Term
"081-8067",6R : Rural Minor Collector,"31.872880, -83.727024",2019,30,Estimated,,,,,,,60,Short Term
"081-8070",7R : Rural Local,"32.016066, -83.754127",2019,200,Estimated,10,9,0.498,,0.1393,0.8,340,Short Term
"081-8076",7U : Urban Local,"31.926990, -83.785442",2019,170,Estimated,34,4,0.166,0.028,0.1171,0.8,210,Short Term
"081-8077",7R : Rural Local,"31.961677, -83.911184",2019,630,Estimated,,,,,,,800,Short Term
"081-8078",7U : Urban Local,"31.930044, -83.747401",2019,660,Estimated,22,1,0.033,0.002,0.069,0.8,1820,Short Term
"081-8079",6R : Rural Minor Collector,"32.005801, -83.733954",2019,1100,Estimated,,,,,,,1500,Short Term
"081-8080",7U : Urban Local,"31.925952, -83.753647",2019,650,Estimated,,,,,0.1552,0.5,1230,Short Term
"081-8081",7U : Urban Local,"31.925511, -83.741114",2019,1180,Estimated,58,18,0.432,0.086,0.1157,0.8,2650,Short Term
"081-8082",7U : Urban Local,"31.973998, -83.781211",2019,40,Estimated,,,,,0.1869,0.5,50,Short Term
"081-r001",1R : Rural Principal Arterial - Interstate,"31.834787, -83.713244",2019,320,Estimated,,,,,0.1081,1,400,Short Term
"081-r002",1R : Rural Principal Arterial - Interstate,"31.836740, -83.713810",2019,380,Estimated,,,,,0.1381,1,480,Short Term
"081-r003",1R : Rural Principal Arterial - Interstate,"31.905347, -83.736701",2019,350,Actual,,,,,0.1775,1,450,Short Term
"081-r004",1R : Rural Principal Arterial - Interstate,"31.908415, -83.737949",2019,580,Actual,,,,,0.1049,1,830,Short Term
"081-r005",1U : Urban Principal Arterial - Interstate,"31.934480, -83.746169",2019,700,Estimated,,,,,0.1305,1,1310,Short Term
"081-r006",1U : Urban Principal Arterial - Interstate,"31.935957, -83.746826",2019,4490,Estimated,,,,,0.0731,1,5660,Short Term
"081-r007",1U : Urban Principal Arterial - Interstate,"31.957342, -83.750824",2019,4010,Actual,,,,,0.0925,1,5280,Short Term
"081-r008",7R : Rural Local,"31.961309, -83.751386",2019,3600,Actual,,,,,0.0755,1,4920,Short Term
"081-r009",1U : Urban Principal Arterial - Interstate,"31.973665, -83.752599",2019,1210,Estimated,,,,,0.0833,1,3240,Short Term
"081-r010",1U : Urban Principal Arterial - Interstate,"31.976608, -83.752502",2019,760,Estimated,,,,,0.0986,1,1260,Short Term
"081-r011",1U : Urban Principal Arterial - Interstate,"32.003375, -83.757267",2019,580,Estimated,,,,,0.0986,1,730,Short Term
"081-r012",7R : Rural Local,"32.006339, -83.757586",2019,520,Estimated,,,,,0.0947,1,650,Short Term
"081-r301",7R : Rural Local,"31.922973, -83.775828",2019,310,Estimated,,,,,0.1071,1,390,Short Term
"081-r302",7R : Rural Local,"31.922893, -83.772666",2019,310,Estimated,,,,,0.1216,1,530,Short Term
"081-r303",7R : Rural Local,"31.923408, -83.769612",2019,500,Estimated,,,,,0.0968,1,960,Short Term
"081-r304",7R : Rural Local,"31.923569, -83.773107",2019,370,Estimated,,,,,0.091,1,480,Short Term
"081-r601",1R : Rural Principal Arterial - Interstate,"31.836777, -83.714701",2019,420,Estimated,,,,,0.124,1,530,Short Term
"081-r602",1R : Rural Principal Arterial - Interstate,"31.834218, -83.713966",2019,330,Estimated,,,,,0.1011,1,410,Short Term
"081-r603",1R : Rural Principal Arterial - Interstate,"31.909166, -83.738908",2019,500,Actual,,,,,0.0973,1,740,Short Term
"081-r604",1R : Rural Principal Arterial - Interstate,"31.905433, -83.737467",2019,250,Actual,,,,,0.0913,1,310,Short Term
"081-r605",1U : Urban Principal Arterial - Interstate,"31.935670, -83.748353",2019,4320,Estimated,,,,,0.0796,1,5440,Short Term
"081-r606",1U : Urban Principal Arterial - Interstate,"31.932516, -83.747806",2019,570,Estimated,,,,,0.1005,1,770,Short Term
"081-r607",1U : Urban Principal Arterial - Interstate,"31.962398, -83.752198",2019,3550,Actual,,,,,0.0852,1,7030,Short Term
"081-r608",7R : Rural Local,"31.959277, -83.752000",2019,2990,Actual,,,,,0.0885,1,5840,Short Term
"081-r609",1U : Urban Principal Arterial - Interstate,"31.977023, -83.755188",2019,860,Estimated,,,,,0.1038,1,1270,Short Term
"081-r610",1U : Urban Principal Arterial - Interstate,"31.972773, -83.754689",2019,1200,Estimated,,,,,0.1176,1,3070,Short Term
"081-r611",1U : Urban Principal Arterial - Interstate,"32.006087, -83.760019",2019,580,Estimated,,,,,0.0913,1,740,Short Term
"081-r612",1U : Urban Principal Arterial - Interstate,"32.002880, -83.759576",2019,640,Estimated,,,,,0.0994,1,830,Short Term
"081-w347",3U : Urban Principal Arterial - Other,"31.923610, -83.787110",2019,5830,Estimated,,,,,,,7340,CCS
"083-0101",5R : Rural Major Collector,"34.735292, -85.536745",2019,950,Actual,,,,,0.1006,0.58,1200,Short Term
"083-0103",5R : Rural Major Collector,"34.806710, -85.543814",2019,1550,Estimated,43,29,0.194,0.323,0.1105,0.74,1950,Short Term
"083-0105",5R : Rural Major Collector,"34.834209, -85.532033",2019,2430,Actual,,,,,0.1319,0.55,3070,Short Term
"083-0107",4R : Rural Minor Arterial,"34.863570, -85.515679",2019,6570,Estimated,142,40,0.204,0.031,0.1094,0.63,8290,Short Term
"083-0109",4R : Rural Minor Arterial,"34.868249, -85.512146",2019,9700,Actual,,,,,0.0885,0.56,12200,Short Term
"083-0110",4R : Rural Minor Arterial,"34.869883, -85.510713",2019,13200,Estimated,503,227,0.421,0.148,0.1086,0.6,16600,Short Term
"083-0111",5R : Rural Major Collector,"34.872065, -85.509090",2019,5010,Actual,,,,,0.0924,1,7400,Short Term
"083-0112",5R : Rural Major Collector,"34.873713, -85.508338",2019,9220,Actual,,,,,0.0901,0.65,12300,Short Term
"083-0113",5R : Rural Major Collector,"34.872257, -85.509566",2019,5810,Actual,,,,,0.1075,1,7320,Short Term
"083-0114",5R : Rural Major Collector,"34.908585, -85.482863",2019,4900,Actual,,,,,0.1055,0.56,7540,Short Term
"083-0118",5R : Rural Major Collector,"34.914894, -85.477597",2019,5710,Estimated,232,149,0.77,0.543,0.109,0.64,8200,Short Term
"083-0121",5R : Rural Major Collector,"34.946724, -85.443068",2019,4100,Actual,,,,,0.1022,0.59,5930,Short Term
"083-0127",6U : Urban Minor Collector,"34.972395, -85.404751",2019,6030,Estimated,278,191,0.576,0.457,0.1532,0.59,12900,Short Term
"083-0132",4R : Rural Minor Arterial,"34.862571, -85.562348",2019,3720,Estimated,89,57,0.139,0.055,0.1025,0.79,4680,Short Term
"083-0134",4R : Rural Minor Arterial,"34.866430, -85.542682",2019,6310,Actual,,,,,0.0921,0.73,7940,Short Term
"083-0136",4R : Rural Minor Arterial,"34.864064, -85.539933",2019,11000,Estimated,307,136,0.262,0.047,0.0943,0.71,13900,Short Term
"083-0138",4R : Rural Minor Arterial,"34.869535, -85.518729",2019,11900,Actual,,,,,0.0893,0.6,15000,Short Term
"083-0141",4R : Rural Minor Arterial,"34.869072, -85.512760",2019,17800,Estimated,585,204,0.312,0.052,0.0892,0.56,30400,Short Term
"083-0143",4R : Rural Minor Arterial,"34.865685, -85.509940",2019,6250,Actual,,,,,0.098,0.55,10400,Short Term
"083-0147",5R : Rural Major Collector,"34.827135, -85.503135",2019,2960,Estimated,109,54,0.203,0.135,0.096,0.6,4440,Short Term
"083-0152",5R : Rural Major Collector,"34.802425, -85.462074",2019,2380,Actual,,,,,0.1047,0.51,3000,Short Term
"083-0156",5R : Rural Major Collector,"34.735754, -85.464154",2019,720,Actual,,,,,0.0988,0.69,910,Short Term
"083-0158",4R : Rural Minor Arterial,"34.931593, -85.397250",2019,680,Actual,,,,,0.1011,0.52,990,Short Term
"083-0161",4U : Urban Minor Arterial,"34.932974, -85.398914",2019,1920,Estimated,63,9,0.473,0.053,0.1135,0.64,3210,Short Term
"083-0163",4U : Urban Minor Arterial,"34.967374, -85.372730",2019,3200,Actual,104,15,0.156,0.031,0.0972,0.56,4030,Short Term
"083-0165",5R : Rural Major Collector,"34.815676, -85.470695",2019,630,Estimated,38,9,0.631,0.158,0.1025,0.57,800,Short Term
"083-0167",5R : Rural Major Collector,"34.840839, -85.450103",2019,520,Actual,,,,,0.1162,0.52,650,Short Term
"083-0169",4U : Urban Minor Arterial,"34.867346, -85.461981",2019,430,Estimated,22,5,,0.234,0.1168,0.66,560,Short Term
"083-0172",4U : Urban Minor Arterial,"34.920400, -85.420316",2019,1610,Actual,,,,,0.1013,0.61,2030,Short Term
"083-0173",4U : Urban Minor Arterial,"34.977877, -85.365657",2019,1090,Estimated,33,1,0.278,,0.1287,0.52,1370,Short Term
"083-0174",5R : Rural Major Collector,"34.977029, -85.445998",2019,1180,Actual,,,,,0.112,0.71,1570,Short Term
"083-0176",5R : Rural Major Collector,"34.979912, -85.423147",2019,2350,Estimated,83,45,0.469,1.194,0.1343,0.63,2960,Short Term
"083-0178",6U : Urban Minor Collector,"34.978391, -85.410994",2019,3850,Actual,,,,,0.0849,0.58,4850,Short Term
"083-0181",4R : Rural Minor Arterial,"34.835152, -85.565403",2019,2980,Estimated,118,71,0.242,0.138,0.0962,0.73,3750,Short Term
"083-0183",4R : Rural Minor Arterial,"34.851253, -85.555064",2019,3410,Actual,133,59,0.205,0.117,0.0965,0.73,4300,Short Term
"083-0185",5R : Rural Major Collector,"34.874105, -85.538139",2019,850,Actual,,,,,0.11,0.61,1160,Short Term
"083-0189",5R : Rural Major Collector,"34.925458, -85.576136",2019,1610,Actual,,,,,0.0942,0.64,2020,Short Term
"083-0192",1R : Rural Principal Arterial - Interstate,"34.741000, -85.537900",2019,14300,Estimated,,,,,,,18700,Short Term
"083-0194",1R : Rural Principal Arterial - Interstate,"34.822330, -85.539620",2019,15500,Actual,416,4229,0.31,1.033,0.1024,0.52,22700,CCS
"083-0198",1R : Rural Principal Arterial - Interstate,"34.905300, -85.490800",2019,21700,Calculated,,,,,,,27400,Short Term
"083-0203",1R : Rural Principal Arterial - Interstate,"34.952200, -85.464700",2019,23500,Calculated,,,,,,,29600,Short Term
"083-0205",1R : Rural Principal Arterial - Interstate,"34.968000, -85.450200",2019,20900,Actual,,,,,0.0713,0.56,27100,Short Term
"083-0207",1R : Rural Principal Arterial - Interstate,"34.970640, -85.452620",2019,1780,Estimated,44,414,0.343,3.257,0.159,0.8,2240,Short Term
"083-0209",1R : Rural Principal Arterial - Interstate,"34.977550, -85.456550",2019,51200,Actual,1574,12496,0.111,0.98,0.0873,0.51,69300,CCS
"083-0210",1R : Rural Principal Arterial - Interstate,"34.971300, -85.450500",2019,47700,Calculated,,,,,,,64200,Short Term
"083-0212",1R : Rural Principal Arterial - Interstate,"34.968500, -85.428600",2019,67000,Calculated,,,,,,,92600,Short Term
"083-0214",1U : Urban Principal Arterial - Interstate,"34.982890, -85.409840",2019,67200,Actual,1605,14999,,,0.0831,0.52,86500,CCS
"083-0221",5R : Rural Major Collector,"34.918697, -85.527713",2019,1400,Estimated,,,,,,,1760,Short Term
"083-0225",4R : Rural Minor Arterial,"34.879924, -85.474277",2019,1580,Estimated,37,2,0.131,,0.1065,0.52,2590,Short Term
"083-0227",4U : Urban Minor Arterial,"34.902650, -85.441348",2019,1290,Estimated,,,,,0.1242,0.52,1920,Short Term
"083-0229",6R : Rural Minor Collector,"34.772028, -85.546167",2019,460,Estimated,,,,,,,580,Short Term
"083-0232",6R : Rural Minor Collector,"34.772343, -85.538316",2019,1370,Actual,83,15,0.293,0,0.0996,0.55,1720,Short Term
"083-0234",5R : Rural Major Collector,"34.942620, -85.480904",2019,2460,Estimated,,,,,0.1777,0.86,3100,Short Term
"083-0236",5R : Rural Major Collector,"34.940934, -85.469193",2019,620,Estimated,,,,,,,790,Short Term
"083-0238",7R : Rural Local,"34.873559, -85.535000",2019,3840,Estimated,,,,,0.0908,0.59,4890,Short Term
"083-0241",6R : Rural Minor Collector,"34.924400, -85.484000",2019,650,Estimated,,,,,,,820,Short Term
"083-0243",5R : Rural Major Collector,"34.895144, -85.540680",2019,1000,Estimated,,,,,,,1260,Short Term
"083-0245",6R : Rural Minor Collector,"34.954668, -85.533014",2019,1060,Estimated,,,,,0.1036,0.78,1340,Short Term
"083-8001",7R : Rural Local,"34.884239, -85.560737",2019,290,Estimated,,,,,,,380,Short Term
"083-8003",7R : Rural Local,"34.808447, -85.550925",2019,90,Estimated,,,,,0.1447,0.57,120,Short Term
"083-8007",7R : Rural Local,"34.781574, -85.542220",2019,60,Estimated,4,,0.074,,0.1596,0.5,70,Short Term
"083-8009",6R : Rural Minor Collector,"34.940320, -85.524248",2019,1390,Estimated,,,,,0.1117,0.5,1750,Short Term
"083-8013",7R : Rural Local,"34.864474, -85.516214",2019,160,Estimated,,,,,,,220,Short Term
"083-8014",7R : Rural Local,"34.967737, -85.408213",2019,290,Actual,12,0,0.341,0,0.1468,0.58,370,Short Term
"083-8016",7R : Rural Local,"34.901991, -85.418992",2019,330,Estimated,,,,,,,420,Short Term
"083-8017",6R : Rural Minor Collector,"34.726791, -85.529626",2019,350,Actual,16,2,0,0,0.1083,0.74,440,Short Term
"083-8018",7R : Rural Local,"34.831601, -85.534745",2019,330,Actual,14,1,0.615,0,0.1292,0.5,410,Short Term
"083-8019",7R : Rural Local,"34.945841, -85.418269",2019,90,Estimated,2,,0.027,,0.1409,0.58,110,Short Term
"083-8020",7R : Rural Local,"34.949203, -85.424122",2019,320,Estimated,9,1,0.028,0.003,0.152,0.65,830,Short Term
"083-8021",7R : Rural Local,"34.754578, -85.488578",2019,30,Actual,2,0,0,0,0.179,0.67,40,Short Term
"083-8023",7R : Rural Local,"34.763605, -85.502395",2019,220,Actual,23,0,0.893,0,0.125,0.57,280,Short Term
"083-8024",7R : Rural Local,"34.711609, -85.527316",2019,30,Estimated,,,,,0.145,0.5,50,Short Term
"083-8026",7R : Rural Local,"34.750805, -85.522458",2019,290,Actual,20,6,0,0.347,0.1007,0.72,770,Short Term
"083-8027",7R : Rural Local,"34.725719, -85.514035",2019,40,Actual,4,0,0,0,0.1667,0.57,50,Short Term
"083-8028",7R : Rural Local,"34.970930, -85.439629",2019,350,Estimated,9,1,0.025,0.004,0.1333,0.65,440,Short Term
"083-8029",7R : Rural Local,"34.962395, -85.504040",2019,220,Estimated,10,1,0.044,0.006,0.1295,0.64,290,Short Term
"083-8031",7R : Rural Local,"34.953779, -85.464053",2019,110,Actual,7,0,1.786,0,0.125,0.64,150,Short Term
"083-8032",7R : Rural Local,"34.811118, -85.548150",2019,70,Actual,3,0,0,0,0.125,0.78,90,Short Term
"083-8033",7R : Rural Local,"34.763790, -85.519289",2019,420,Estimated,10,1,0.023,0.003,0.1051,0.64,580,Short Term
"083-8035",7R : Rural Local,"34.835101, -85.489346",2019,200,Actual,2,0,0,0,0.1733,0.51,270,Short Term
"083-8036",7R : Rural Local,"34.867291, -85.508337",2019,1140,Actual,37,4,0.263,0.088,0.1262,0.64,1440,Short Term
"083-8037",7R : Rural Local,"34.868713, -85.508836",2019,290,Estimated,30,,0.1,,0.126,0.56,360,Short Term
"083-r007",1R : Rural Principal Arterial - Interstate,"34.975065, -85.418431",2019,1360,Estimated,,,,,0.0745,1,1710,Short Term
"083-r008",1R : Rural Principal Arterial - Interstate,"34.976575, -85.417124",2019,1640,Estimated,,,,,0.085,1,2060,Short Term
"083-r103",1R : Rural Principal Arterial - Interstate,"34.770337, -85.538909",2019,1330,Estimated,,,,,0.0765,1,1760,Short Term
"083-r104",1R : Rural Principal Arterial - Interstate,"34.774070, -85.540263",2019,1570,Estimated,,,,,0.0765,1,1980,Short Term
"083-r105",1R : Rural Principal Arterial - Interstate,"34.868557, -85.515817",2019,850,Actual,,,,,0.0827,1,1290,Short Term
"083-r106",1R : Rural Principal Arterial - Interstate,"34.870801, -85.515045",2019,3300,Actual,,,,,0.1308,1,4160,Short Term
"083-r107",1R : Rural Principal Arterial - Interstate,"34.941542, -85.475638",2019,330,Actual,,,,,0.1131,1,410,Short Term
"083-r108",1R : Rural Principal Arterial - Interstate,"34.943501, -85.473655",2019,890,Actual,,,,,0.1487,1,1120,Short Term
"083-r607",1R : Rural Principal Arterial - Interstate,"34.976977, -85.419000",2019,1630,Estimated,,,,,0.1013,1,2050,Short Term
"083-r608",1R : Rural Principal Arterial - Interstate,"34.977006, -85.419247",2019,1290,Estimated,,,,,0.1006,1,1620,Short Term
"083-r703",1R : Rural Principal Arterial - Interstate,"34.773813, -85.541652",2019,1500,Estimated,,,,,0.1074,1,1900,Short Term
"083-r704",1R : Rural Principal Arterial - Interstate,"34.770617, -85.540608",2019,1330,Estimated,,,,,0.0805,1,1680,Short Term
"083-r705",1R : Rural Principal Arterial - Interstate,"34.870958, -85.516028",2019,3090,Actual,,,,,0.1192,1,3890,Short Term
"083-r706",1R : Rural Principal Arterial - Interstate,"34.868539, -85.516871",2019,980,Actual,,,,,0.1208,1,1350,Short Term
"083-r707",1R : Rural Principal Arterial - Interstate,"34.943493, -85.476186",2019,960,Actual,,,,,0.1202,1,1210,Short Term
"083-r708",1R : Rural Principal Arterial - Interstate,"34.941593, -85.478193",2019,270,Actual,,,,,0.1459,1,410,Short Term
"083-r996",,"34.973260, -85.452930",2019,1660,Actual,,,,,0.0882,1,2090,Short Term
"083-r997",,"34.967940, -85.452540",2019,1630,Actual,,,,,0.0796,1,2060,Short Term
"083-r998",,"34.969730, -85.449860",2019,10700,Actual,,,,,0.0817,1,13400,Short Term
"083-r999",,"34.970670, -85.446190",2019,10200,Actual,,,,,0.0786,1,12900,Short Term
"085-0101",6U : Urban Minor Collector,"34.347315, -84.115207",2019,8780,Actual,,,,,0.1055,0.63,11800,Short Term
"085-0103",6U : Urban Minor Collector,"34.386832, -84.125527",2019,5380,Estimated,291,72,0.834,0.057,0.1322,0.64,11700,Short Term
"085-0105",3R : Rural Principal Arterial - Other,"34.410171, -84.116618",2019,4790,Estimated,319,67,0.516,0.107,0.1167,0.56,7830,Short Term
"085-0109",3R : Rural Principal Arterial - Other,"34.421281, -84.117474",2019,13000,Estimated,643,345,0.548,0.087,0.0898,0.68,27000,Short Term
"085-0112",3R : Rural Principal Arterial - Other,"34.429671, -84.102611",2019,6130,Estimated,466,76,0.622,0.118,0.1005,0.62,7720,Short Term
"085-0116",4R : Rural Minor Arterial,"34.444125, -84.090455",2019,4690,Estimated,201,37,0.351,0.066,0.1074,0.61,8310,Short Term
"085-0118",5R : Rural Major Collector,"34.556526, -84.295727",2019,3450,Estimated,186,237,0.58,0.203,0.0862,0.61,4940,Short Term
"085-0121",5R : Rural Major Collector,"34.548671, -84.260435",2019,990,Actual,74,36,0.913,0.304,0.1166,0.57,1240,Short Term
"085-0123",5R : Rural Major Collector,"34.541459, -84.218427",2019,940,Estimated,46,44,,0.213,0.1044,0.53,1180,Short Term
"085-0127",3R : Rural Principal Arterial - Other,"34.416609, -84.256090",2019,3220,Actual,231,193,0.498,0.404,0.0967,0.51,5030,Short Term
"085-0129",3R : Rural Principal Arterial - Other,"34.421746, -84.194445",2019,3570,Estimated,234,271,0.376,0.491,0.091,0.53,5550,Short Term
"085-0132",3R : Rural Principal Arterial - Other,"34.419894, -84.144305",2019,6840,Actual,526,409,0.585,0.322,0.0818,0.6,9550,Short Term
"085-0136",3R : Rural Principal Arterial - Other,"34.421371, -84.121366",2019,9790,Estimated,563,412,0.368,0.21,0.0918,0.54,15000,Short Term
"085-0137",3R : Rural Principal Arterial - Other,"34.421236, -84.119464",2019,8030,Estimated,357,139,0.667,0.103,0.1114,0.8,14200,Short Term
"085-0138",3R : Rural Principal Arterial - Other,"34.420274, -84.115205",2019,13500,Estimated,598,365,0.503,0.137,0.084,0.66,22800,Short Term
"085-0139",3R : Rural Principal Arterial - Other,"34.421452, -84.118923",2019,6310,Estimated,393,74,0.425,0.033,0.0957,0.8,7950,Short Term
"085-0140",3R : Rural Principal Arterial - Other,"34.421400, -84.119500",2019,5130,Estimated,286,156,0.341,0.08,0.0959,0.8,6470,Short Term
"085-0141",3R : Rural Principal Arterial - Other,"34.402561, -84.098022",2019,15300,Estimated,611,408,0.208,0.114,0.0924,0.6,22100,Short Term
"085-0143",3U : Urban Principal Arterial - Other,"34.377951, -84.052189",2019,16100,Estimated,740,476,0.263,0.144,0.0898,0.62,28700,Short Term
"085-0145",3U : Urban Principal Arterial - Other,"34.348735, -84.027378",2019,10500,Estimated,766,431,0.421,0.239,0.0948,0.51,13300,Short Term
"085-0149",5R : Rural Major Collector,"34.423631, -84.119026",2019,2430,Estimated,,,,,,,3060,Short Term
"085-0152",5R : Rural Major Collector,"34.438452, -84.132717",2019,3340,Estimated,,,,,0.0992,0.67,4200,Short Term
"085-0156",5R : Rural Major Collector,"34.529955, -84.283395",2019,620,Actual,,,,,0.1147,0.51,1000,Short Term
"085-0158",5R : Rural Major Collector,"34.527146, -84.275992",2019,910,Estimated,48,26,0.552,0.442,0.1082,0.59,1470,Short Term
"085-0161",5R : Rural Major Collector,"34.516951, -84.241614",2019,2800,Actual,,,,,0.1002,0.51,3530,Short Term
"085-0163",5R : Rural Major Collector,"34.506912, -84.213088",2019,2680,Estimated,187,97,0.374,0.374,0.0964,0.65,4470,Short Term
"085-0167",5R : Rural Major Collector,"34.475039, -84.155719",2019,3780,Actual,,,,,0.0963,0.61,5380,Short Term
"085-0169",5R : Rural Major Collector,"34.445792, -84.107243",2019,2090,Estimated,128,112,0.287,0.43,0.1089,0.63,3600,Short Term
"085-0172",5R : Rural Major Collector,"34.423094, -84.042903",2019,4480,Actual,,,,,0.0914,0.57,6500,Short Term
"085-0175",4R : Rural Minor Arterial,"34.393729, -84.011098",2019,940,Estimated,49,5,0.436,0.109,0.1101,0.5,1320,Short Term
