Station ID,Functional Class,Lat/Long,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"121-r208",7U : Urban Local,"33.757039, -84.469628",2019,7710,Estimated,,,,,0.0723,1,9710,Short Term
"121-r211",1U : Urban Principal Arterial - Interstate,"33.751327, -84.448469",2019,4600,Estimated,,,,,0.0688,1,5800,Short Term
"121-r212",7U : Urban Local,"33.749282, -84.442562",2019,7650,Estimated,,,,,0.0976,1,12400,Short Term
"121-r214",7U : Urban Local,"33.744935, -84.427320",2019,6510,Estimated,,,,,0.0816,1,8980,Short Term
"121-r215",7U : Urban Local,"33.741282, -84.419172",2019,6350,Estimated,,,,,0.0849,1,8000,Short Term
"121-r216",7U : Urban Local,"33.741238, -84.416394",2019,8210,Estimated,,,,,0.0762,1,11800,Short Term
"121-r218",7U : Urban Local,"33.741148, -84.413031",2019,10300,Estimated,,,,,0.0966,1,13000,Short Term
"121-r221",7U : Urban Local,"33.741910, -84.404400",2019,8790,Estimated,,,,,0.1287,1,12100,Short Term
"121-r223",7U : Urban Local,"33.743746, -84.400819",2019,10400,Estimated,,,,,0.189,1,14600,Short Term
"121-r224",1U : Urban Principal Arterial - Interstate,"33.745095, -84.396176",2019,7500,Estimated,,,,,0.1837,1,13000,Short Term
"121-r225",7U : Urban Local,"33.744855, -84.397331",2019,38800,Estimated,,,,,0.0644,1,57600,Short Term
"121-r226",7U : Urban Local,"33.743321, -84.386458",2019,41400,Estimated,,,,,0.0781,1,52100,Short Term
"121-r228",7U : Urban Local,"33.743113, -84.383621",2019,7890,Estimated,,,,,0.164,1,11800,Short Term
"121-r232",7U : Urban Local,"33.743173, -84.377851",2019,7960,Estimated,,,,,0.1675,1,16200,Short Term
"121-r233",7U : Urban Local,"33.743096, -84.369901",2019,7700,Actual,,,,,0.0783,1,9700,Short Term
"121-r235",1U : Urban Principal Arterial - Interstate,"33.743065, -84.364226",2019,8100,Estimated,,,,,0.1103,1,10200,Short Term
"121-r236",1U : Urban Principal Arterial - Interstate,"33.743083, -84.360980",2019,7320,Estimated,,,,,0.1196,1,12700,Short Term
"121-r237",7U : Urban Local,"33.744897, -84.351256",2019,9790,Estimated,,,,,0.106,1,12700,Short Term
"121-r434",7U : Urban Local,"33.910266, -84.357653",2019,21900,Estimated,,,,,0.0799,1,49100,Short Term
"121-r438",7U : Urban Local,"33.763578, -84.491574",2019,22500,Estimated,,,,,0.0763,1,28300,Short Term
"121-r440",7U : Urban Local,"33.763450, -84.489780",2019,14200,Estimated,,,,,0.124,1,21800,Short Term
"121-r534",7U : Urban Local,"33.911135, -84.359358",2019,23800,Estimated,,,,,0.0756,1,30000,Short Term
"121-r536",7U : Urban Local,"33.913120, -84.356650",2019,7340,Estimated,,,,,0.0956,1,13800,Short Term
"121-r538",7U : Urban Local,"33.765230, -84.495077",2019,22800,Estimated,,,,,0.0753,1,30700,Short Term
"121-r601",1U : Urban Principal Arterial - Interstate,"33.654158, -84.395843",2019,10900,Estimated,,,,,0.1357,1,20900,Short Term
"121-r603",,"33.702248, -84.404434",2019,37300,Actual,,,,,0.0863,1,47000,Short Term
"121-r604",1U : Urban Principal Arterial - Interstate,"33.689988, -84.401997",2019,13000,Estimated,,,,,0.0852,1,16400,Short Term
"121-r605",7U : Urban Local,"33.688690, -84.400441",2019,3760,Estimated,,,,,0.1181,1,4740,Short Term
"121-r611",1U : Urban Principal Arterial - Interstate,"33.679662, -84.398647",2019,12300,Estimated,,,,,0.0849,1,15500,Short Term
"121-r612",,"33.675332, -84.397991",2019,17400,Actual,,,,,0.0829,1,21900,Short Term
"121-r613",7U : Urban Local,"33.723445, -84.394527",2019,10800,Estimated,,,,,0.0761,1,13700,Short Term
"121-r614",7U : Urban Local,"33.721171, -84.395968",2019,5900,Estimated,,,,,0.0984,1,8090,Short Term
"121-r616",1U : Urban Principal Arterial - Interstate,"33.734491, -84.392438",2019,5620,Estimated,,,,,0.1427,1,7690,Short Term
"121-r618",1U : Urban Principal Arterial - Interstate,"33.737311, -84.392386",2019,15700,Estimated,,,,,0.1686,1,29300,Short Term
"121-r619",7U : Urban Local,"33.743991, -84.391605",2019,6760,Estimated,,,,,0.078,1,11800,Short Term
